scope,query_id,split,system,P@10,R@20,F1,NDCG@20,hallucinated_or_out_of_pool,total_tokens,latency_s
resolvable,RealScholarQuery_30,train,scholarloop_a_v2,0.1,0.3333333333333333,0.15384615384615383,0.3751702446694335,0,0,6.865326800005278
resolvable,RealScholarQuery_31,train,keyword,0.0,0.0,0.0,0.0,0,0,0.0
resolvable,RealScholarQuery_31,train,bm25,0.2,0.2,0.20000000000000004,0.29167684708429703,0,0,0.0
resolvable,RealScholarQuery_31,train,neural_embedding_v2,0.2,0.2,0.20000000000000004,0.20818096999667898,0,0,0.0
resolvable,RealScholarQuery_31,train,single_llm,0.3,0.26666666666666666,0.2823529411764706,0.31401466999053373,0,1497,7.435886599996593
resolvable,RealScholarQuery_31,train,scholarloop_a_v2_no_rerank,0.2,0.3333333333333333,0.25,0.2553329457302418,0,0,0.0
resolvable,RealScholarQuery_31,train,scholarloop_a_v2,0.3,0.4,0.34285714285714286,0.3656833579248973,0,0,10.825483799999347
resolvable,RealScholarQuery_32,train,keyword,0.0,0.0,0.0,0.0,0,0,0.0
resolvable,RealScholarQuery_32,train,bm25,0.0,0.0,0.0,0.0,0,0,0.0
resolvable,RealScholarQuery_32,train,neural_embedding_v2,0.0,0.0,0.0,0.0,0,0,0.0
resolvable,RealScholarQuery_32,train,single_llm,0.0,0.0,0.0,0.0,0,1298,7.103072199999588
resolvable,RealScholarQuery_32,train,scholarloop_a_v2_no_rerank,0.0,0.0,0.0,0.0,0,0,0.0
resolvable,RealScholarQuery_32,train,scholarloop_a_v2,0.0,0.0,0.0,0.0,0,0,10.432868799995049
resolvable,RealScholarQuery_33,train,keyword,0.1,0.07692307692307693,0.08695652173913043,0.18672776492534796,0,0,0.0
resolvable,RealScholarQuery_33,train,bm25,0.2,0.3076923076923077,0.24242424242424246,0.34676416969930274,0,0,0.0
resolvable,RealScholarQuery_33,train,neural_embedding_v2,0.3,0.3076923076923077,0.3037974683544304,0.2830488895533276,0,0,0.0
resolvable,RealScholarQuery_33,train,single_llm,0.5,0.38461538461538464,0.4347826086956522,0.5405656095005567,0,1309,6.443937299991376
resolvable,RealScholarQuery_33,train,scholarloop_a_v2_no_rerank,0.4,0.46153846153846156,0.42857142857142855,0.42956913167859306,0,0,0.0
resolvable,RealScholarQuery_33,train,scholarloop_a_v2,0.4,0.38461538461538464,0.39215686274509803,0.3733601333512472,0,0,8.923208200008958
resolvable,RealScholarQuery_34,train,keyword,0.2,0.5,0.28571428571428575,0.3611033558663733,0,0,0.0
resolvable,RealScholarQuery_34,train,bm25,0.0,0.3333333333333333,0.0,0.16618352633167227,0,0,0.0
resolvable,RealScholarQuery_34,train,neural_embedding_v2,0.0,0.0,0.0,0.0,0,0,0.0
resolvable,RealScholarQuery_34,train,single_llm,0.0,0.0,0.0,0.0,0,1978,10.803828100004466
resolvable,RealScholarQuery_34,train,scholarloop_a_v2_no_rerank,0.1,0.3333333333333333,0.15384615384615383,0.18527627974877137,0,0,0.0
resolvable,RealScholarQuery_34,train,scholarloop_a_v2,0.0,0.16666666666666666,0.0,0.07565060337470336,0,0,13.981627400004072
resolvable,RealScholarQuery_35,train,keyword,0.0,0.0,0.0,0.0,0,0,0.0
resolvable,RealScholarQuery_35,train,bm25,0.1,0.14285714285714285,0.11764705882352941,0.0979129253499678,0,0,0.0
resolvable,RealScholarQuery_35,train,neural_embedding_v2,0.0,0.14285714285714285,0.0,0.06258116307550304,0,0,0.0
resolvable,RealScholarQuery_35,train,single_llm,0.1,0.14285714285714285,0.11764705882352941,0.27487633291429087,0,1659,9.741173200003686
resolvable,RealScholarQuery_35,train,scholarloop_a_v2_no_rerank,0.1,0.14285714285714285,0.11764705882352941,0.27487633291429087,0,0,0.0
resolvable,RealScholarQuery_35,train,scholarloop_a_v2,0.1,0.14285714285714285,0.11764705882352941,0.27487633291429087,0,0,11.967452300013974
resolvable,RealScholarQuery_36,train,keyword,0.0,0.0,0.0,0.0,0,0,0.0
resolvable,RealScholarQuery_36,train,bm25,0.2,0.12121212121212122,0.15094339622641512,0.30534136614879887,0,0,0.0
resolvable,RealScholarQuery_36,train,neural_embedding_v2,0.3,0.09090909090909091,0.13953488372093023,0.2764659704386725,0,0,0.0
resolvable,RealScholarQuery_36,train,single_llm,0.4,0.12121212121212122,0.186046511627907,0.3638506620318613,0,937,3.8740176999999676
resolvable,RealScholarQuery_36,train,scholarloop_a_v2_no_rerank,0.5,0.15151515151515152,0.23255813953488375,0.3648714297034473,0,0,0.0
resolvable,RealScholarQuery_36,train,scholarloop_a_v2,0.6,0.18181818181818182,0.27906976744186046,0.4539556544247787,0,0,5.6942145000066375
resolvable,RealScholarQuery_37,test,keyword,0.0,0.0,0.0,0.0,0,0,0.0
resolvable,RealScholarQuery_37,test,bm25,0.1,0.1111111111111111,0.10526315789473685,0.07414861528507455,0,0,0.0
resolvable,RealScholarQuery_37,test,neural_embedding_v2,0.2,0.2222222222222222,0.2105263157894737,0.35256832412172806,0,0,0.0
